Player Name,Photo URL
Orkun Kökçü,https://cdn.sofifa.net/players/243/245/24_120.png
Cody Gakpo,https://cdn.sofifa.net/players/242/516/24_120.png
Dominik Livaković,https://cdn.sofifa.net/players/241/671/24_120.png
Pedro Gonçalves,https://cdn.sofifa.net/players/240/950/24_120.png
Teun Koopmeiners,https://cdn.sofifa.net/players/240/679/24_120.png
Ibrahima Konaté,https://cdn.sofifa.net/players/237/678/24_120.png
Boubacar Kamara,https://cdn.sofifa.net/players/236/987/24_120.png
Dominik Szoboszlai,https://cdn.sofifa.net/players/236/772/24_120.png
Kai Havertz,https://cdn.sofifa.net/players/235/790/24_120.png
Youssef En-Nesyri,https://cdn.sofifa.net/players/235/410/24_120.png
Patrik Schick,https://cdn.sofifa.net/players/234/236/24_120.png
Lucas Paquetá,https://cdn.sofifa.net/players/233/927/24_120.png
Alexander Isak,https://cdn.sofifa.net/players/233/731/24_120.png
Robin Le Normand,https://cdn.sofifa.net/players/233/486/24_120.png
Nahuel Molina,https://cdn.sofifa.net/players/233/084/24_120.png
Isi Palazón,https://cdn.sofifa.net/players/232/498/24_120.png
Franck Yannick Kessié,https://cdn.sofifa.net/players/230/938/24_120.png
Josué Chiamulera,https://cdn.sofifa.net/players/230/375/24_120.png
Lucas Mantela,https://cdn.sofifa.net/players/230/182/24_120.png
Mario Hermoso,https://cdn.sofifa.net/players/229/668/24_120.png
Manuel Akanji,https://cdn.sofifa.net/players/229/237/24_120.png
Ferland Mendy,https://cdn.sofifa.net/players/228/618/24_120.png
Rodrigo Bentancur,https://cdn.sofifa.net/players/227/535/24_120.png
David García,https://cdn.sofifa.net/players/225/341/24_120.png
Alex Meret,https://cdn.sofifa.net/players/225/116/24_120.png
Ivan Provedel,https://cdn.sofifa.net/players/224/987/24_120.png
Borja Iglesias,https://cdn.sofifa.net/players/224/179/24_120.png
Lucas Torreira,https://cdn.sofifa.net/players/223/959/24_120.png
Joelinton,https://cdn.sofifa.net/players/223/334/24_120.png
Malcom,https://cdn.sofifa.net/players/222/737/24_120.png
Manuel Locatelli,https://cdn.sofifa.net/players/222/077/24_120.png
Ollie Watkins,https://cdn.sofifa.net/players/221/697/24_120.png
Mattia Zaccagni,https://cdn.sofifa.net/players/220/502/24_120.png
Jeremías Conan Ledesma,https://cdn.sofifa.net/players/219/522/24_120.png
Nabil Fekir,https://cdn.sofifa.net/players/216/594/24_120.png
Iñaki Williams,https://cdn.sofifa.net/players/216/201/24_120.png
Ángel Correa,https://cdn.sofifa.net/players/214/997/24_120.png
Pierre-Emile Højbjerg,https://cdn.sofifa.net/players/213/648/24_120.png
Ricardo Horta,https://cdn.sofifa.net/players/213/516/24_120.png
Anderson Talisca,https://cdn.sofifa.net/players/212/523/24_120.png
Robert Andrich,https://cdn.sofifa.net/players/212/242/24_120.png
Gayà,https://cdn.sofifa.net/players/211/688/24_120.png
Otávio,https://cdn.sofifa.net/players/210/411/24_120.png
Piotr Zieliński,https://cdn.sofifa.net/players/210/406/24_120.png
Fabian Schär,https://cdn.sofifa.net/players/210/047/24_120.png
Raphaël Guerreiro,https://cdn.sofifa.net/players/209/889/24_120.png
Fred,https://cdn.sofifa.net/players/209/297/24_120.png
Nathan Aké,https://cdn.sofifa.net/players/208/920/24_120.png
Emre Can,https://cdn.sofifa.net/players/208/333/24_120.png
Mateo Kovačić,https://cdn.sofifa.net/players/207/410/24_120.png
Luke Shaw,https://cdn.sofifa.net/players/205/988/24_120.png
Carvajal,https://cdn.sofifa.net/players/204/963/24_120.png
Jordan Pickford,https://cdn.sofifa.net/players/204/935/24_120.png
Brice Samba,https://cdn.sofifa.net/players/204/883/24_120.png
Iñigo Martínez,https://cdn.sofifa.net/players/204/525/24_120.png
Raheem Sterling,https://cdn.sofifa.net/players/202/652/24_120.png
Sergi Darder,https://cdn.sofifa.net/players/202/648/24_120.png
Wissam Ben Yedder,https://cdn.sofifa.net/players/199/451/24_120.png
Dušan Tadić,https://cdn.sofifa.net/players/199/434/24_120.png
Stefan de Vrij,https://cdn.sofifa.net/players/198/176/24_120.png
Callum Wilson,https://cdn.sofifa.net/players/196/978/24_120.png
Henrikh Mkhitaryan,https://cdn.sofifa.net/players/192/883/24_120.png
Bernd Leno,https://cdn.sofifa.net/players/192/563/24_120.png
Nicolás Otamendi,https://cdn.sofifa.net/players/192/366/24_120.png
Lukáš Hrádecký,https://cdn.sofifa.net/players/190/941/24_120.png
Thomas Müller,https://cdn.sofifa.net/players/189/596/24_120.png
Thiago,https://cdn.sofifa.net/players/189/509/24_120.png
Péter Gulácsi,https://cdn.sofifa.net/players/185/122/24_120.png
Joselu,https://cdn.sofifa.net/players/173/608/24_120.png
Balde,https://cdn.sofifa.net/players/263/578/24_120.png
Giorgi Mamardashvili,https://cdn.sofifa.net/players/262/621/24_120.png
Destiny Udogie,https://cdn.sofifa.net/players/259/583/24_120.png
Kaoru Mitoma,https://cdn.sofifa.net/players/255/565/24_120.png
Vitinha,https://cdn.sofifa.net/players/255/253/24_120.png
Manuel Ugarte,https://cdn.sofifa.net/players/253/306/24_120.png
Zubimendi,https://cdn.sofifa.net/players/248/148/24_120.png
Edmond Tapsoba,https://cdn.sofifa.net/players/247/263/24_120.png
Dávid Hancko,https://cdn.sofifa.net/players/247/103/24_120.png
Álvaro Valles,https://cdn.sofifa.net/players/246/657/24_120.png
Julián Álvarez,https://cdn.sofifa.net/players/246/191/24_120.png
João Félix,https://cdn.sofifa.net/players/242/444/24_120.png
Mehdi Taremi,https://cdn.sofifa.net/players/241/788/24_120.png
Viktor Gyökeres,https://cdn.sofifa.net/players/241/651/24_120.png
Nicolás González,https://cdn.sofifa.net/players/240/690/24_120.png
Davide Frattesi,https://cdn.sofifa.net/players/239/807/24_120.png
Jonathan Clauss,https://cdn.sofifa.net/players/239/093/24_120.png
Pervis Estupiñán,https://cdn.sofifa.net/players/237/942/24_120.png
Takefusa Kubo,https://cdn.sofifa.net/players/237/681/24_120.png
Douglas Luiz,https://cdn.sofifa.net/players/236/499/24_120.png
Noussair Mazraoui,https://cdn.sofifa.net/players/236/401/24_120.png
Reinildo,https://cdn.sofifa.net/players/236/045/24_120.png
Brais Méndez,https://cdn.sofifa.net/players/235/944/24_120.png
Edson Álvarez,https://cdn.sofifa.net/players/235/844/24_120.png
Marcus Edwards,https://cdn.sofifa.net/players/235/619/24_120.png
Ibrahim Sangaré,https://cdn.sofifa.net/players/235/173/24_120.png
Édouard Mendy,https://cdn.sofifa.net/players/234/642/24_120.png
Xaver Schlager,https://cdn.sofifa.net/players/233/195/24_120.png
Denzel Dumfries,https://cdn.sofifa.net/players/233/096/24_120.png
Jadon Sancho,https://cdn.sofifa.net/players/233/049/24_120.png
Daichi Kamada,https://cdn.sofifa.net/players/232/730/24_120.png
Richarlison,https://cdn.sofifa.net/players/231/943/24_120.png
Benjamin White,https://cdn.sofifa.net/players/231/936/24_120.png
Exequiel Palacios,https://cdn.sofifa.net/players/231/521/24_120.png
Brahim,https://cdn.sofifa.net/players/231/410/24_120.png
Ademola Lookman,https://cdn.sofifa.net/players/230/899/24_120.png
Oswaldinato,https://cdn.sofifa.net/players/230/430/24_120.png
Nailton Suzuki,https://cdn.sofifa.net/players/230/384/24_120.png
Welington Dano,https://cdn.sofifa.net/players/230/347/24_120.png
Adriano Bisesi,https://cdn.sofifa.net/players/230/294/24_120.png
Rosival Dourado,https://cdn.sofifa.net/players/230/258/24_120.png
Adryan Zonta,https://cdn.sofifa.net/players/230/256/24_120.png
Leon Bailey,https://cdn.sofifa.net/players/229/906/24_120.png
Marcus Thuram,https://cdn.sofifa.net/players/228/093/24_120.png
Yeray,https://cdn.sofifa.net/players/227/950/24_120.png
Oleksandr Zinchenko,https://cdn.sofifa.net/players/227/813/24_120.png
Christian Pulisic,https://cdn.sofifa.net/players/227/796/24_120.png
André-Franck Zambo Anguissa,https://cdn.sofifa.net/players/227/236/24_120.png
Presnel Kimpembe,https://cdn.sofifa.net/players/225/850/24_120.png
Ellyes Skhiri,https://cdn.sofifa.net/players/225/126/24_120.png
Jarrod Bowen,https://cdn.sofifa.net/players/224/371/24_120.png
Enes Ünal,https://cdn.sofifa.net/players/223/197/24_120.png
Hirving Lozano,https://cdn.sofifa.net/players/221/992/24_120.png
David Raya,https://cdn.sofifa.net/players/220/901/24_120.png
Diego Carlos,https://cdn.sofifa.net/players/219/693/24_120.png
Youri Tielemans,https://cdn.sofifa.net/players/216/393/24_120.png
Allan Saint-Maximin,https://cdn.sofifa.net/players/216/388/24_120.png
Andrej Kramarić,https://cdn.sofifa.net/players/216/354/24_120.png
Seko Fofana,https://cdn.sofifa.net/players/216/320/24_120.png
Aleksandar Mitrović,https://cdn.sofifa.net/players/215/716/24_120.png
Serhou Guirassy,https://cdn.sofifa.net/players/215/441/24_120.png
Duván Zapata,https://cdn.sofifa.net/players/215/333/24_120.png
Thomas Lemar,https://cdn.sofifa.net/players/213/565/24_120.png
João Mário,https://cdn.sofifa.net/players/212/814/24_120.png
Vincenzo Grifo,https://cdn.sofifa.net/players/212/096/24_120.png
Rui Silva,https://cdn.sofifa.net/players/210/385/24_120.png
Lucas Vázquez,https://cdn.sofifa.net/players/208/618/24_120.png
Saúl,https://cdn.sofifa.net/players/208/421/24_120.png
Bryan Cristante,https://cdn.sofifa.net/players/208/268/24_120.png
William Carvalho,https://cdn.sofifa.net/players/207/566/24_120.png
Leandro Trossard,https://cdn.sofifa.net/players/207/421/24_120.png
Kepa,https://cdn.sofifa.net/players/206/585/24_120.png
Sébastien Haller,https://cdn.sofifa.net/players/205/693/24_120.png
Niclas Füllkrug,https://cdn.sofifa.net/players/205/431/24_120.png
Paulo Gazzaniga,https://cdn.sofifa.net/players/205/186/24_120.png
Arkadiusz Milik,https://cdn.sofifa.net/players/205/175/24_120.png
Marcel Sabitzer,https://cdn.sofifa.net/players/204/923/24_120.png
Stefan Savić,https://cdn.sofifa.net/players/204/639/24_120.png
Mário Rui,https://cdn.sofifa.net/players/204/614/24_120.png
Felipe Anderson,https://cdn.sofifa.net/players/201/995/24_120.png
Geoffrey Kondogbia,https://cdn.sofifa.net/players/201/455/24_120.png
Mauro Icardi,https://cdn.sofifa.net/players/201/399/24_120.png
Danilo Pereira,https://cdn.sofifa.net/players/200/888/24_120.png
Steven Berghuis,https://cdn.sofifa.net/players/200/260/24_120.png
Lewis Dunk,https://cdn.sofifa.net/players/199/915/24_120.png
Danilo,https://cdn.sofifa.net/players/199/304/24_120.png
Wilfried Zaha,https://cdn.sofifa.net/players/198/717/24_120.png
Isco,https://cdn.sofifa.net/players/197/781/24_120.png
Sebastián Coates,https://cdn.sofifa.net/players/197/655/24_120.png
Oliver Baumann,https://cdn.sofifa.net/players/193/698/24_120.png
Alexandre Lacazette,https://cdn.sofifa.net/players/193/301/24_120.png
Mario Götze,https://cdn.sofifa.net/players/192/318/24_120.png
Pierre-Emerick Aubameyang,https://cdn.sofifa.net/players/188/567/24_120.png
Toby Alderweireld,https://cdn.sofifa.net/players/184/087/24_120.png
Jordan Henderson,https://cdn.sofifa.net/players/183/711/24_120.png
Simon Kjær,https://cdn.sofifa.net/players/179/645/24_120.png
Etienne Capoue,https://cdn.sofifa.net/players/178/213/24_120.png
Ivan Rakitić,https://cdn.sofifa.net/players/168/651/24_120.png
Kasper Schmeichel,https://cdn.sofifa.net/players/163/587/24_120.png
Pepe,https://cdn.sofifa.net/players/120/533/24_120.png
Micky van de Ven,https://cdn.sofifa.net/players/264/453/24_120.png
Arnau Martínez,https://cdn.sofifa.net/players/260/815/24_120.png
Gonçalo Inácio,https://cdn.sofifa.net/players/257/179/24_120.png
Joey Veerman,https://cdn.sofifa.net/players/253/109/24_120.png
Ali Al Musrati,https://cdn.sofifa.net/players/252/308/24_120.png
Marco Carnesecchi,https://cdn.sofifa.net/players/252/154/24_120.png
Karim Adeyemi,https://cdn.sofifa.net/players/251/852/24_120.png
Vivian,https://cdn.sofifa.net/players/248/550/24_120.png
Sacha Boey,https://cdn.sofifa.net/players/248/266/24_120.png
Michael Olise,https://cdn.sofifa.net/players/247/827/24_120.png
Victor Boniface,https://cdn.sofifa.net/players/247/679/24_120.png
Ibañez,https://cdn.sofifa.net/players/247/257/24_120.png
Odilon Kossounou,https://cdn.sofifa.net/players/246/875/24_120.png
